post_id,content_type,prompt_used,ai_draft_excerpt,review_status,reviewer,review_timestamp,revision_note,checklist_claim_ok,checklist_pii_ok,checklist_tone_ok,checklist_cta_ok
P-Q1-01,website,"Viết bài web 600 từ cho sản phẩm Thẻ tín dụng hoàn tiền, persona Nhân viên văn phòng 25-35 tuổi, chi tiêu thẻ đều, giọng Gần gũi, thực dụng, tránh thuật ngữ tài chính khó, bám key message: Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.",Ra mắt KPIM Cashback Card – hoàn tiền đến 8% — KPIM Bank giới thiệu Thẻ tín dụng hoàn tiền với Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.,Approved,Phạm Hải Yến (Brand),2026-07-18 09:07:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-01,caption,"Viết caption Facebook ≤ 90 từ cho bài 'Ra mắt KPIM Cashback Card – hoàn tiền đến 8%', pillar Product, CTA 'Tìm hiểu thêm', kèm 2 hashtag",Ra mắt KPIM Cashback Card – hoàn tiền đến 8%. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyề,Approved,Trần Quốc Anh (Compliance),2026-07-18 09:14:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-01,media_prompt,"Mô tả ảnh/video cho bài 'Ra mắt KPIM Cashback Card – hoàn tiền đến 8%': bố cục, màu thương hiệu KPIM, không hiển thị thông tin định danh","Ảnh chủ đề Sản phẩm, tông màu thương hiệu KPIM, chủ thể chính minh hoạ 'Ra mắt KPIM Cashback Card – hoàn tiền đến 8%'",Approved,Trần Quốc Anh (Compliance),2026-07-18 09:21:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-02,website,"Viết bài web 600 từ cho sản phẩm Thẻ tín dụng hoàn tiền, persona Nhân viên văn phòng 25-35 tuổi, chi tiêu thẻ đều, giọng Gần gũi, thực dụng, tránh thuật ngữ tài chính khó, bám key message: Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.",3 dòng thẻ Cashback cho 3 phong cách chi tiêu — KPIM Bank giới thiệu Thẻ tín dụng hoàn tiền với Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.,Approved,Nguyễn Thu Hà (Marketing Lead),2026-07-18 09:28:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-02,caption,"Viết caption Facebook ≤ 90 từ cho bài '3 dòng thẻ Cashback cho 3 phong cách chi tiêu', pillar Product, CTA 'Tìm hiểu thêm', kèm 2 hashtag",3 dòng thẻ Cashback cho 3 phong cách chi tiêu. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quy,Approved,Phạm Hải Yến (Brand),2026-07-18 09:35:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-02,media_prompt,"Mô tả ảnh/video cho bài '3 dòng thẻ Cashback cho 3 phong cách chi tiêu': bố cục, màu thương hiệu KPIM, không hiển thị thông tin định danh","Ảnh chủ đề Sản phẩm, tông màu thương hiệu KPIM, chủ thể chính minh hoạ '3 dòng thẻ Cashback cho 3 phong cách chi tiêu'",Approved,Trần Quốc Anh (Compliance),2026-07-18 09:42:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-03,website,"Viết bài web 600 từ cho sản phẩm Thẻ tín dụng hoàn tiền, persona Nhân viên văn phòng 25-35 tuổi, chi tiêu thẻ đều, giọng Gần gũi, thực dụng, tránh thuật ngữ tài chính khó, bám key message: Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.",Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào? — KPIM Bank giới thiệu Thẻ tín dụng hoàn tiền với Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.,Approved,Lê Minh Châu (Content Lead),2026-07-18 09:49:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-03,caption,"Viết caption Facebook ≤ 90 từ cho bài 'Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào?', pillar Education, CTA 'Xem thêm', kèm 2 hashtag",Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì ,Approved,Lê Minh Châu (Content Lead),2026-07-18 09:56:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-03,media_prompt,"Mô tả ảnh/video cho bài 'Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào?': bố cục, màu thương hiệu KPIM, không hiển thị thông tin định danh","Ảnh chủ đề Kiến thức tài chính, tông màu thương hiệu KPIM, chủ thể chính minh hoạ 'Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá '",Approved,Lê Minh Châu (Content Lead),2026-07-18 10:03:00,,TRUE,TRUE,TRUE,TRUE
P-Q1-04,website,"Viết bài web 600 từ cho sản phẩm Thẻ tín dụng hoàn tiền, persona Nhân viên văn phòng 25-35 tuổi, chi tiêu thẻ đều, giọng Gần gũi, thực dụng, tránh thuật ngữ tài chính khó, bám key message: Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.",5 nhóm chi tiêu được hoàn tiền cao nhất — KPIM Bank giới thiệu Thẻ tín dụng hoàn tiền với Hoàn tiền đến 8% cho chi tiêu hằng ngày — không cần đổi thói quen.,Approved,Nguyễn Thu Hà (Marketing Lead),2026-07-18 10:10:00,,TRUE,TRUE,TRUE,TRUE
