asset_id,post_code,campaign_id,quarter,planned_publish_date,schedule_date,pillar_primary,format_source,format,funnel_stage,platform,on_facebook,on_youtube,title_draft,caption,media_link,cta_label,cta_type,approval_status,status,is_published,platform_native_id_fb,platform_native_id_yt,owner
P-Q2-01,P-Q2-01,CMP-2026-Q2,Q2,2026-04-08,2026-04-08,Product,Ảnh,fb_post,conversion,facebook,Y,N,"Vay mua nhà KPIM – lãi suất từ 5,9%/năm","Vay mua nhà KPIM – lãi suất từ 5,9%/năm. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q2/P-Q2-01.jpg,Tìm hiểu thêm,register,Approved,published,Y,3854730219053828,,Team Marketing KPIM Bank
P-Q2-02,P-Q2-02,CMP-2026-Q2,Q2,2026-04-13,2026-04-13,Product,Ảnh,fb_post,conversion,facebook,Y,N,"Vay tới 80% giá trị căn nhà, thời hạn 25 năm","Vay tới 80% giá trị căn nhà, thời hạn 25 năm. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q2/P-Q2-02.jpg,Tìm hiểu thêm,register,Approved,published,Y,5328778056202055,,Team Marketing KPIM Bank
P-Q2-03,P-Q2-03,CMP-2026-Q2,Q2,2026-04-19,2026-04-19,Education,Video,long_video,consumption,youtube,Y,Y,Nên vay cố định hay thả nổi? Chọn sao cho đúng,Nên vay cố định hay thả nổi? Chọn sao cho đúng? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-03.mp4,Xem thêm,link_click,Approved,published,Y,2350424896090231,atDN9xR-5XH,Team Marketing KPIM Bank
P-Q2-04,P-Q2-04,CMP-2026-Q2,Q2,2026-04-22,2026-04-24,Education,Ảnh,fb_post,consumption,facebook,Y,N,Chuẩn bị hồ sơ vay mua nhà cần những gì?,Chuẩn bị hồ sơ vay mua nhà cần những gì? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-04.jpg,Xem thêm,link_click,Approved,published,Y,8679415069054753,,Team Marketing KPIM Bank
P-Q2-05,P-Q2-05,CMP-2026-Q2,Q2,2026-04-30,2026-04-30,Education,Video,long_video,consumption,youtube,Y,Y,Cách tính khoản trả góp hàng tháng dễ hiểu,Cách tính khoản trả góp hàng tháng dễ hiểu? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-05.mp4,Xem thêm,link_click,Approved,published,Y,8622841753280954,DFT6YzpobY0,Team Marketing KPIM Bank
P-Q2-06,P-Q2-06,CMP-2026-Q2,Q2,2026-05-05,2026-05-05,Promo,Ảnh,fb_post,business,facebook,Y,N,Ưu đãi mùa mua nhà: miễn phí định giá tài sản,"Ưu đãi mùa mua nhà: miễn phí định giá tài sản! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q2/P-Q2-06.jpg,Đăng ký ngay,register,Approved,published,Y,0234061419836835,,Team Marketing KPIM Bank
P-Q2-07,P-Q2-07,CMP-2026-Q2,Q2,2026-05-08,2026-05-09,Promo,Liên kết,fb_post,business,facebook,Y,N,Ước tính khoản vay trong 1 phút – dùng thử ngay,"Ước tính khoản vay trong 1 phút – dùng thử ngay! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q2/P-Q2-07.jpg,Đăng ký ngay,register,Approved,published,Y,9595677675060904,,Team Marketing KPIM Bank
P-Q2-08,P-Q2-08,CMP-2026-Q2,Q2,2026-05-15,2026-05-15,HowTo,Video,long_video,consumption,youtube,Y,Y,Đăng ký vay online và theo dõi hồ sơ trên app,"Đăng ký vay online và theo dõi hồ sơ trên app — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q2/P-Q2-08.mp4,Tải app KPIM,link_click,Approved,published,Y,9813898273873357,afqdMF0WO1O,Team Marketing KPIM Bank
P-Q2-09,P-Q2-09,CMP-2026-Q2,Q2,2026-05-20,2026-05-22,HowTo,Thước phim,fb_reel,consumption,youtube,Y,Y,3 bước nộp hồ sơ vay mua nhà 100% online,"3 bước nộp hồ sơ vay mua nhà 100% online — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q2/P-Q2-09.mp4,Tải app KPIM,link_click,Approved,published,Y,9571240248592113,oippE2iZNdI,Team Marketing KPIM Bank
P-Q2-09,P-Q2-09,CMP-2026-Q2,Q2,2026-05-20,2026-05-23,HowTo,Thước phim,fb_reel,consumption,youtube,Y,Y,3 bước nộp hồ sơ vay mua nhà 100% online,"3 bước nộp hồ sơ vay mua nhà 100% online — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q2/P-Q2-09.mp4,Tải app KPIM,link_click,Approved,published,Y,9571240248592113,oippE2iZNdI,Team Marketing KPIM Bank
P-Q2-10,P-Q2-10,CMP-2026-Q2,Q2,2026-05-25,2026-05-25,Testimonial,Video,long_video,engagement,youtube,Y,Y,Gia đình anh Minh nhận nhà mới sau 3 tuần duyệt vay,"Gia đình anh Minh nhận nhà mới sau 3 tuần duyệt vay. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem câu chuyện. #KPIMBank #KhachHangKPIM",media/Q2/P-Q2-10.mp4,Xem câu chuyện,comment,Approved,published,Y,8634981203513142,wuzkE6fZFOb,Team Marketing KPIM Bank
